item,itemLabel,ministry,ministryLabel,country,jurisdiction,began,ended,holders
Q114740003,Attorney General of Saint Vincent and the Grenadines,,,Q757,Q757,,,2
Q114739134,Deputy Prime Minister of Saint Vincent and the Grenadines,,,Q757,Q757,1979,,3
Q114739220,Minister of Agriculture,,,Q757,Q757,,,1
Q114739112,Minister of Education and National Reconciliation,Q106616191,Ministry of Education and National Reconciliation,,Q757,,,1
Q112609747,Minister of Finance of Saint Vincent and the Grenadines,,,,Q757,,,1
Q19901423,Minister of Foreign Affairs,,,Q757,Q757,,,6
Q114739223,Minister of Health,,,Q757,Q757,,,1
Q114739225,Minister of Information,,,Q757,Q757,,,1
Q114739113,Minister of Legal Affairs,Q56289999,Ministry of Legal Affairs,,Q757,,,1
Q114739231,Minister of National Mobilization,,,Q757,Q757,,,1
Q114739521,Minister of National Security,,,Q757,Q757,,,1
Q114739522,Minister of Public Service,,,Q757,Q757,,,1
Q114739528,Minister of Tourism,,,Q757,Q757,,,1
Q114739529,Minister of Transport,,,Q757,Q757,,,1
Q114739537,Minister of Urban Development,,,Q757,Q757,,,1
Q30101507,Prime Minister of Saint Vincent and the Grenadines,,,Q757,Q757,,,4
