position,title
Q26869653,monarch
Q61037457,Governor-General
Q30101507,Prime Minister
Q114739134,Deputy Prime Minister
Q114739220,Minister of Agriculture
Q114739112,Minister of Education and National Reconciliation
Q112609747,Minister of Finance
Q19901423,Minister of Foreign Affairs
Q114739223,Minister of Health
Q114739225,Minister of Information
Q114739113,Minister of Legal Affairs
Q114739231,Minister of National Mobilization
Q114739521,Minister of National Security
Q114739522,Minister of Public Service
Q114739528,Minister of Tourism
Q114739529,Minister of Transport
Q114739537,Minister of Urban Development
Q114740003,Attorney General
